Plot_ID,Row,Raceme_ID,Plant_Species,Subplot_Type,CountWithNectar,TotalFlowersTested
28,4,32,Prunella,R,1,3
28,4,31,Prunella,C,3,3
29,5,405,Onobrychis,C,3,3
29,5,406,Onobrychis,C,3,3
29,5,411,Onobrychis,D,0,1
29,5,407,Onobrychis,C,3,3
29,5,408,Onobrychis,R,2,3
29,5,410,Onobrychis,D,2,3
29,5,409,Onobrychis,R,2,3
30,5,421,Onobrychis,C,3,3
30,5,176,Prunella,C,0,1
30,5,177,Prunella,R,2,2
30,5,178,Lathyrus,C,3,3
30,5,422,Onobrychis,C,3,3
31,5,163,Prunella,D,0,1
32,5,426,Onobrychis,D,0,1
32,5,425,Onobrychis,D,2,2
32,5,428,Onobrychis,C,1,1
32,5,80,Prunella,D,3,3
32,5,184,Lathyrus,R,0,2
32,5,462,Prunella,D,1,1
32,5,427,Onobrychis,C,3,3
32,5,78,Prunella,R,3,3
32,5,183,Lathyrus,C,1,1
32,5,182,Lathyrus,D,3,3
32,5,181,Lathyrus,D,0,1
32,5,180,Lathyrus,C,3,3
32,5,179,Lathyrus,R,1,1
32,5,164,Lathyrus,R,0,2
32,5,79,Prunella,C,1,1
32,5,424,Onobrychis,R,3,3
32,5,166,Lathyrus,D,3,3
32,5,372,Prunella,D,0,1
32,5,165,Lathyrus,C,0,2
32,5,423,Onobrychis,R,1,1
33,5,82,Prunella,R,3,3
33,5,83,Prunella,D,2,3
33,5,81,Prunella,C,2,3
33,5,249,Prunella,R,0,3
33,5,170,Prunella,R,3,3
33,5,169,Prunella,D,0,1
33,5,168,Prunella,C,2,3
33,5,167,Lathyrus,C,0,1
33,5,186,Prunella,C,3,3
33,5,250,Lathyrus,C,0,1
33,5,241,Lathyrus,C,2,3
33,5,240,Prunella,R,3,3
33,5,371,Prunella,D,0,1
33,5,185,Prunella,R,0,1
33,5,187,Prunella,D,3,3
33,5,251,Lathyrus,C,1,1
34,5,313,Prunella,R,3,3
34,5,298,Prunella,R,3,3
34,5,84,Prunella,D,0,1
34,5,461,Lathyrus,C,1,1
34,5,460,Lathyrus,D,3,3
34,5,85,Prunella,R,1,3
34,5,86,Prunella,C,3,3
34,5,401,Onobrychis,D,1,1
34,5,399,Onobrychis,R,2,2
34,5,446,Lathyrus,R,1,1
34,5,301,Prunella,D,0,1
34,5,400,Onobrychis,R,0,1
34,5,299,Lathyrus,D,1,1
34,5,192,Lathyrus,C,2,2
34,5,191,Lathyrus,D,2,2
34,5,171,Lathyrus,D,1,1
34,5,172,Lathyrus,C,1,3
34,5,173,Lathyrus,R,0,1
34,5,174,Lathyrus,C,2,3
34,5,175,Lathyrus,D,1,1
34,5,300,Prunella,C,1,3
35,5,88,Onobrychis,R,3,3
35,5,89,Onobrychis,D,2,2
35,5,302,Onobrychis,R,3,3
35,5,87,Onobrychis,C,3,3
35,5,77,Onobrychis,R,1,3
35,5,76,Onobrychis,C,2,3
35,5,75,Onobrychis,D,1,3
35,5,429,Onobrychis,D,2,2
35,5,303,Onobrychis,D,0,1
35,5,307,Onobrychis,D,2,3
35,5,430,Onobrychis,C,0,3
35,5,324,Onobrychis,D,3,3
35,5,431,Onobrychis,C,2,2
35,5,397,Onobrychis,D,3,3
35,5,195,Prunella,C,2,2
35,5,432,Onobrychis,R,0,2
35,5,194,Prunella,R,3,3
35,5,305,Onobrychis,C,3,3
35,5,304,Onobrychis,C,2,3
35,5,306,Onobrychis,R,3,3
35,5,398,Onobrychis,D,2,3
36,6,34,Lathyrus,D,0,2
36,6,278,Lathyrus,R,2,3
36,6,279,Lathyrus,D,1,2
36,6,339,Prunella,R,0,1
36,6,340,Lathyrus,R,0,1
36,6,341,Lathyrus,D,2,2
36,6,369,Lathyrus,R,3,3
36,6,35,Lathyrus,R,1,1
36,6,277,Lathyrus,C,0,2
36,6,368,Prunella,D,3,3
36,6,281,Lathyrus,C,1,2
36,6,280,Lathyrus,D,1,2
36,6,36,Lathyrus,C,1,3
36,6,119,Lathyrus,R,2,2
36,6,117,Lathyrus,C,3,3
36,6,118,Lathyrus,D,2,3
36,6,329,Lathyrus,D,1,2
36,6,328,Lathyrus,R,2,3
37,6,343,Onobrychis,D,2,2
37,6,344,Onobrychis,R,3,3
38,6,345,Prunella,R,1,1
38,6,37,Onobrychis,R,3,3
38,6,342,Onobrychis,C,1,3
38,6,38,Onobrychis,C,3,3
38,6,39,Onobrychis,D,2,2
39,6,323,Prunella,D,0,1
39,6,124,Prunella,D,3,3
39,6,123,Prunella,C,0,1
39,6,125,Prunella,R,3,3
39,6,327,Onobrychis,C,3,3
39,6,404,Onobrychis,D,1,3
39,6,347,Onobrychis,D,3,3
39,6,463,Prunella,D,3,3
39,6,403,Onobrychis,R,3,3
39,6,402,Onobrychis,D,1,3
39,6,326,Lathyrus,D,0,1
39,6,322,Onobrychis,R,3,3
40,6,348,Onobrychis,C,3,3
40,6,321,Onobrychis,R,3,3
40,6,349,Onobrychis,D,1,1
40,6,43,Lathyrus,C,0,1
40,6,44,Lathyrus,R,1,2
41,6,464,Prunella,D,0,1
41,6,447,Lathyrus,D,0,1
41,6,131,Prunella,C,3,3
41,6,448,Lathyrus,R,2,2
41,6,370,Lathyrus,R,0,2
41,6,46,Lathyrus,R,2,2
41,6,47,Lathyrus,C,3,3
41,6,465,Prunella,D,0,1
41,6,129,Prunella,R,0,1
41,6,130,Prunella,D,3,3
41,6,45,Lathyrus,D,0,3
41,6,325,Prunella,D,3,3
42,6,308,Lathyrus,R,1,1
42,6,309,Prunella,D,3,3
42,6,310,Onobrychis,C,2,3
42,6,311,Onobrychis,R,2,2
42,6,312,Lathyrus,R,1,1
42,6,132,Lathyrus,D,0,1
42,6,133,Lathyrus,C,2,2
42,6,50,Lathyrus,D,0,3
42,6,49,Lathyrus,C,2,3
42,6,48,Lathyrus,R,1,2
42,6,134,Lathyrus,R,0,1
