Plot_ID,Row,ID,Raceme_ID,No_Floral_Units,Plant_Species,Subplot_Type,Volume_Absolute,Concentration_Absolute,Concentration_AverageBlanks,Sugar_Absolute
17,3,869,444,3,Lathyrus,Drought,0.15625,NA,0.3729,0.058265625
19,3,607,319,11,Onobrychis,Roofed,0.125,NA,0.4623,0.0577875
19,3,722,383,3,Onobrychis,Roofed,0.265625,0.19867903,0.19867903,0.052774117
16,3,749,394,3,Onobrychis,Drought,0.09375,0.512613234,0.512613234,0.048057491
20,3,470,242,12,Prunella,Control,0.0625,0.645270444,0.645270444,0.040329403
21,3,428,223,14,Prunella,Roofed,0.09375,NA,0.4099,0.038428125
19,3,457,238,5,Prunella,Drought,0.09375,NA,0.4099,0.038428125
16,3,864,442,5,Onobrychis,Roofed,0.078125,NA,0.4623,0.036117188
21,3,427,223,14,Prunella,Roofed,0.0625,NA,0.4099,0.02561875
20,3,471,243,2,Prunella,Drought,0.0625,NA,0.4099,0.02561875
21,3,898,459,9,Prunella,Drought,0.15625,0.15882027,0.15882027,0.024815667
16,3,865,442,5,Onobrychis,Roofed,0.046875,NA,0.4623,0.021670313
16,3,863,441,7,Onobrychis,Control,0.03125,0.645270444,0.645270444,0.020164701
19,3,458,238,5,Prunella,Drought,0.046875,NA,0.4099,0.019214063
21,3,896,459,9,Prunella,Drought,0.09375,0.164445359,0.164445359,0.015416752
16,3,746,393,1,Onobrychis,Roofed,0.03125,NA,0.4623,0.014446875
16,3,866,442,5,Onobrychis,Roofed,0.03125,NA,0.4623,0.014446875
15,3,406,212,8,Prunella,Drought,0.03125,NA,0.4099,0.012809375
19,3,414,218,4,Prunella,Roofed,0.03125,NA,0.4099,0.012809375
19,3,608,319,11,Onobrychis,Roofed,0.015625,NA,0.4623,0.007223438
20,3,472,243,2,Prunella,Drought,0.015625,NA,0.4099,0.006404688
9,2,501,267,1,Lathyrus,Control,1.484375,0.645270444,0.645270444,0.957823315
11,2,508,272,5,Lathyrus,Control,1.328125,0.69179319,0.69179319,0.91878783
11,2,15,6,3,Lathyrus,Drought,3.90625,0.192915234,0.192915234,0.753575133
10,2,681,361,4,Lathyrus,Drought,1.015625,0.645270444,0.645270444,0.655352795
11,2,509,272,5,Lathyrus,Control,0.78125,0.805062374,0.805062374,0.62895498
11,2,10,4,1,Lathyrus,Control,2.5,0.23376176,0.23376176,0.5844044
9,2,677,359,2,Lathyrus,Control,1.71875,0.312824484,0.312824484,0.537667082
11,2,191,95,5,Prunella,Roofed,0.9375,0.422920573,0.422920573,0.396488037
9,2,4,2,4,Prunella,Control,1.328125,0.288040922,0.288040922,0.38255435
10,2,502,268,3,Lathyrus,Control,0.859375,0.429645924,0.429645924,0.369226966
12,2,511,273,3,Lathyrus,Drought,0.9375,0.38971701,0.38971701,0.365359697
9,2,6,2,4,Prunella,Control,1.3125,0.269722387,0.269722387,0.354010632
10,2,679,361,4,Lathyrus,Drought,0.46875,0.645270444,0.645270444,0.302470521
11,2,188,94,5,Prunella,Control,0.96875,0.300380994,0.300380994,0.290994088
11,2,186,94,5,Prunella,Control,0.84375,0.331685964,0.331685964,0.279860032
9,2,631,330,9,Prunella,Roofed,0.8125,0.344392672,0.344392672,0.279819046
9,2,177,91,12,Prunella,Drought,0.703125,0.38971701,0.38971701,0.274019773
9,2,630,330,9,Prunella,Roofed,0.71875,0.350786142,0.350786142,0.25212754
9,2,178,91,12,Prunella,Drought,0.578125,0.416223612,0.416223612,0.240629276
13,2,553,295,6,Onobrychis,Control,0.546875,0.4363998,0.4363998,0.238656141
9,2,632,330,9,Prunella,Roofed,0.5625,0.422920573,0.422920573,0.237892822
11,2,183,93,7,Prunella,Drought,0.6875,0.344392672,0.344392672,0.236769962
11,2,11,5,5,Lathyrus,Roofed,0.859375,0.26366676,0.26366676,0.226588622
