Row,Plot_ID,FG,FG_Diversity,Date_Surveyed,Subplot_Type,SubplotID,Survey_Number,SurveyID,TaxonomicID,Pollinator_Species_Code,Plant_Species,No_Visits
3,20,1,1,21-Jul-16,D,20.D,1,20.D.1,Diptera,Diptera_med,Daucus_carota,1
3,20,1,1,21-Jul-16,R,20.R,1,20.R.1,Eristalis_spp,Eristalis_med,Daucus_carota,2
3,20,1,1,22-Jul-16,C,20.C,2,20.C.2,Eristalis_spp,Eristalis_med,Daucus_carota,16
3,20,1,1,22-Jul-16,R,20.R,2,20.R.2,Eristalis_spp,Eristalis_med,Daucus_carota,3
3,20,1,1,22-Jul-16,R,20.R,2,20.R.2,Oedemera_nobilis,Oedemera_nobilis,Daucus_carota,1
3,20,1,1,22-Jul-16,R,20.R,2,20.R.2,Sarcophagidae,Sarcoph,Daucus_carota,2
3,20,1,1,22-Jul-16,C,20.C,2,20.C.2,Stratiomyidae,Stratiomyidae,Daucus_carota,3
3,20,1,1,21-Jul-16,C,20.C,1,20.C.1,Syrphidae,Syrphid,Daucus_carota,1
3,20,1,1,22-Jul-16,C,20.C,2,20.C.2,Syrphidae,Syrphid_med,Daucus_carota,1
3,20,1,1,22-Jul-16,R,20.R,2,20.R.2,Syrphidae,Syrphid_med,Daucus_carota,4
3,20,1,1,21-Jul-16,R,20.R,1,20.R.1,Syrphidae,Syrphid_med_yb,Daucus_carota,1
3,21,123,3,20-Jul-16,C,21.C,1,21.C.1,Apis_melifera,Apis_melifera,Achillea_millefolium,0
3,21,123,3,21-Jul-16,R,21.R,2,21.R.2,Eristalis_spp,Eristalis,Clinopodium_vulgare,2
3,21,123,3,21-Jul-16,R,21.R,2,21.R.2,Eristalis_spp,Eristalis,Daucus_carota,2
3,21,123,3,20-Jul-16,D,21.D,1,21.D.1,Hemiptera,Heteroptera_small,Crepis_capillaris,1
3,21,123,3,21-Jul-16,R,21.R,2,21.R.2,Oedemera_nobilis,Oedemera_nobilis,Daucus_carota,1
3,21,123,3,20-Jul-16,R,21.R,1,21.R.1,Parasitica,Parastic_Wasp_minute,Daucus_carota,1
3,21,123,3,21-Jul-16,R,21.R,2,21.R.2,Parasitica,Parastic_Wasp_minute,Daucus_carota,2
3,21,123,3,20-Jul-16,R,21.R,1,21.R.1,Syrphidae,Syrphid_med_blackshiny,Daucus_carota,2
3,21,123,3,21-Jul-16,D,21.D,2,21.D.2,Syrphidae,Syrphid_med_yb,Prunella_vulgaris,4
4,22,23,2,20-Jul-16,C,22.C,1,22.C.1,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,12
4,22,23,2,21-Jul-16,C,22.C,2,22.C.2,Chrysopidae,Chrysopidae,Onobrychis_viciifolia,1
4,22,23,2,21-Jul-16,C,22.C,2,22.C.2,Diptera,Diptera_med,Leucanthemum_vulgare,1
4,22,23,2,20-Jul-16,C,22.C,1,22.C.1,Diptera,Diptera_small,Leucanthemum_vulgare,1
4,22,23,2,20-Jul-16,C,22.C,1,22.C.1,Hemiptera,Heteroptera_lrg,Leucanthemum_vulgare,1
4,22,23,2,20-Jul-16,C,22.C,1,22.C.1,Hemiptera,Heteroptera_lrg,Lotus_corniculatus,1
4,22,23,2,20-Jul-16,C,22.C,1,22.C.1,Hemiptera,Heteroptera_med,Leucanthemum_vulgare,1
4,22,23,2,21-Jul-16,C,22.C,2,22.C.2,Parasitica,Parastic_Wasp_minute,Leucanthemum_vulgare,1
4,22,23,2,20-Jul-16,C,22.C,1,22.C.1,Nitidulidae,Pollen_Beetle,Lotus_corniculatus,1
4,23,3,1,21-Jul-16,D,23.D,2,23.D.2,Bombus_lapidarius,Bombus_lap,Centaurea_nigra,1
4,23,3,1,14-Jul-16,C,23.C,1,23.C.1,Diptera,Diptera_med,Leucanthemum_vulgare,5
4,23,3,1,14-Jul-16,D,23.D,1,23.D.1,Diptera,Diptera_med,Centaurea_nigra,4
4,23,3,1,14-Jul-16,D,23.D,1,23.D.1,Diptera,Diptera_med,Daucus_carota,2
4,23,3,1,14-Jul-16,R,23.R,1,23.R.1,Diptera,Diptera_med,Leucanthemum_vulgare,17
4,23,3,1,21-Jul-16,R,23.R,2,23.R.2,Diptera,Diptera_med,Leucanthemum_vulgare,1
4,23,3,1,14-Jul-16,D,23.D,1,23.D.1,Diptera,Diptera_minute,Leucanthemum_vulgare,1
4,23,3,1,14-Jul-16,D,23.D,1,23.D.1,Diptera,Diptera_small,Leucanthemum_vulgare,4
4,23,3,1,21-Jul-16,D,23.D,2,23.D.2,Diptera,Diptera_small,Daucus_carota,1
